"","Estimate","Std. Error","z value","Pr(>|z|)"
"MATS7p",733177378284341,14389337.7224102,50952823.0157859,0
"MATS8p",-469249414592750,14992218.1093138,-31299532.2754297,0
"MATS3i",635549923476148,16410397.0288016,38728491.5996064,0
"MATS4i",916137597793527,11091395.1588759,82598950.3277584,0
"MATS1s",-650172411364092,8724158.40977831,-74525516.482525,0
"MATS2s",-376258872142132,9689945.13043041,-38829824.8418894,0
"MATS3s",279562399665452,6566757.95362407,42572362.4412206,0
"MATS4s",177016323684254,6734331.09846864,26285657.9363178,0
"MATS5s",-359899980332564,7256510.67746058,-49596837.4235909,0
"MATS6s",66230841155400.9,5783877.27982857,11450941.6350141,0
"MATS7s",-22669141983424.7,6254167.78209969,-3624645.64003336,0
"MATS8s",-405481283557599,8546837.22414379,-47442261.1456976,0
"GATS1c",516493760841904,15509130.5739295,33302560.6032434,0
"GATS2c",-223843287467073,15296622.8176027,-14633510.294147,0
"GATS3c",-469201669455459,6913781.86903856,-67864690.8946675,0
"GATS4c",-311163555775728,6573044.18505299,-47339337.3017801,0
"GATS5c",-369275005580330,6493146.34468522,-56871505.1190229,0
"GATS6c",23102585793874.2,5783491.2208219,3994574.36897278,0
"GATS7c",10620257538068.7,5908287.97914402,1797518.60023711,0
"GATS8c",-387261598608983,5424627.93037742,-71389522.6694448,0
"GATS1m",-30441067781758.9,22804519.6081345,-1334869.94266261,0
"GATS2m",-217295416214074,17369002.4245793,-12510529.4421845,0
"GATS3m",-166480349929057,9356807.61232349,-17792430.5838876,0
"GATS4m",566626047987528,10422231.8950605,54367054.3596398,0
"GATS5m",-893144981799070,9049556.59354064,-98694888.8121851,0
"GATS6m",-47482650662041.4,9086524.59904057,-5225611.85461986,0
"GATS7m",811905054807828,11210918.8403861,72420919.8520845,0
"GATS8m",318966840019547,10394703.2001424,30685516.832763,0
"GATS2v",149419979024847,29247060.9987233,5108888.68564845,0
"GATS3v",-633328226181043,25901526.2189487,-24451386.4097213,0
"GATS5v",165826463534278,14546258.1872551,11399939.5170621,0
"GATS6v",-78396471960072.7,16064227.2712194,-4880189.41941437,0
"GATS7v",-119961149345911,15477578.1063355,-7750640.863948,0
"GATS8v",1279129753067712,15573410.1841751,82135494.9198922,0
"GATS1e",461227298299592,13411058.0579708,34391566.7433462,0
"GATS2e",-8083840814324.31,15273975.5473863,-529255.843656738,0
"GATS3e",-210780097376750,7841213.03978997,-26881057.3449737,0
"GATS4e",-79707705430939.6,8791717.81191038,-9066226.54823582,0
"GATS5e",949612534433869,9290463.52226688,102213687.418059,0
"GATS6e",231596725363817,7848663.59684615,29507791.0406149,0
"GATS7e",-406587016335993,7675660.05159797,-52970951.5016037,0
"GATS8e",167890574744745,8448291.01917111,19872726.2547848,0
"GATS1p",1469530695566651,44334487.3749369,33146446.0869667,0
"GATS3p",427315722449295,13775107.607389,31020862.7495643,0
"GATS4p",-296523923186518,13899197.6357604,-21333887.8226762,0
"GATS5p",463770342534447,11713488.0964747,39592847.042208,0
"GATS6p",490659506750959,11829424.7596014,41477883.8973311,0
"GATS7p",-400001464330260,14732061.8242795,-27151763.8943809,0
"GATS8p",-483339687336713,15412991.9092395,-31359238.3738923,0
"GATS1i",89604901158190.8,18235595.8514467,4913735.85421296,0
"GATS2i",-965556478245303,10639798.897776,-90749504.5274893,0
"GATS3i",247670905309951,16283575.4174373,15209860.1787868,0
"GATS4i",850028738404977,9399108.52515929,90437166.049274,0
"GATS5i",-283791512590962,6960385.28563165,-40772385.5713553,0
"GATS6i",243670094238249,7112778.7460199,34258073.1018239,0
"GATS7i",-32679646809397.8,6045142.84655387,-5405934.58896135,0
"GATS8i",-209927076478679,5645631.71453342,-37183983.4926299,0
"GATS1s",-651192852198592,11277734.8112761,-57741458.1115612,0
"GATS2s",-275013140996214,8922689.22165724,-30821777.3996543,0
"GATS3s",90965527796167.6,5812999.51304026,15648638.4683338,0
"GATS4s",-97508726874990.6,5510698.03071305,-17694442.0346643,0
"GATS5s",-514830899078939,5563993.35390319,-92529028.4032744,0
"GATS6s",-94014999659568,5194644.25588163,-18098448.1378334,0
"GATS7s",-160930056593277,5698367.10841873,-28241433.6478111,0
"GATS8s",101098785546541,5077780.3557521,19910035.1853574,0
"SpMAD_DzZ",245458914952542,19532250.5549923,12566852.6656189,0
"SM1_DzZ",9421926044978924,152338240.484419,61848725.6713629,0
"VE1_DzZ",141643074921320,10661674.9016952,13285255.4807125,0
"VE2_DzZ",-724499766826059,11141924.6346859,-65024651.5373675,0
"VE3_DzZ",145478814723364,4986605.48832472,29173917.019098,0
"VR1_DzZ",-846579236339186,13945590.6933073,-60705871.4798986,0
"VR2_DzZ",693262665520307,12035596.554664,57601022.2984463,0
"VE1_Dzv",-722638408224862,9223196.25926397,-78350106.3960369,0
"VE2_Dzv",495318420809736,10906331.9904199,45415674.2381235,0
"VR1_Dzv",616482440422800,10164197.4905224,60652347.7133971,0
"VR2_Dzv",-438089215049162,8592349.6084231,-50985962.5148052,0
"VE2_Dze",715894145290430,6841446.15373568,104640762.962013,0
"VE2_Dzp",106910074423677,5317893.58175647,20103838.6308522,0
"SpMAD_Dzs",-418882797242968,8480946.07853511,-49391045.9238907,0
"SM1_Dzs",1292846940727258,31940985.9033483,40476112.5608127,0
"VE1_Dzs",492307338986197,7178561.50282163,68580221.6492384,0
"VE2_Dzs",-361706215779653,7812928.43128914,-46295856.7918138,0
"VE3_Dzs",-30783522254721.9,4407072.65130555,-6985027.18025367,0
"VR1_Dzs",9882815624637.41,8000535.57038518,1235269.25637575,0
"VR2_Dzs",27004288915275.9,8503884.22965175,3175524.05301051,0
"nBase",136750382301037,3116927.48032703,43873456.525427,0
"BCUTw.1l",-17333120919078,2016246.58104837,-8596726.75058693,0
"BCUTw.1h",25320725896057,8862612.74523151,2857027.22480802,0
"BCUTc.1l",-1097215341637798,20433942.7859064,-53695723.4897695,0
"BCUTp.1l",158955644941906,4017680.5485743,39564032.7846156,0
"BCUTp.1h",-21161448349640.1,6254046.08395054,-3383641.25648924,0
"nBondsD",95324226772451.7,67866960.9320028,1404574.85444146,0
"nBondsT",-473720187826341,40609575.7725145,-11665233.6010603,0
"SpMax1_Bhm",-792218257469717,41755154.9570371,-18972944.9761317,0
"SpMax2_Bhm",-211927540119831,19552953.5090751,-10838645.9376313,0
"SpMax3_Bhm",-366835438113952,13004725.7777814,-28207856.4655851,0
"SpMax4_Bhm",-262079291580226,10017843.1165886,-26161249.3358222,0
"SpMax5_Bhm",16395624946178.6,8268313.03954118,1982946.80762213,0
"SpMin1_Bhm",-330201093128770,9675348.44356447,-34128082.8338955,0
