"","Estimate","Std. Error","z value","Pr(>|z|)"
"Xc.3d",-8773782069359379,149461996.445136,-58702427.8949735,0
"Xc.4d",1473054630159628,40237365.2931625,36609122.3773526,0
"Xc.5d",-1813766613003774,27829389.9239175,-65174501.4160359,0
"Xc.6d",830078228986448,13659900.4848828,60767516.5646399,0
"Xc.3dv",2458266455325043,31144344.7308292,78931391.1264168,0
"Xc.4dv",-545938753666816,13138414.9100068,-41552862.9143082,0
"Xc.5dv",-661297444021572,9091562.68528385,-72737489.3528467,0
"AXp.1d",708444637358074,61729474.5393227,11476602.4276909,0
"AXp.2d",1672536461516383,33961541.4904639,49247954.8369739,0
"AXp.3d",-389473528307544,16864825.0184805,-23093837.4919845,0
"AXp.0dv",-2421885481072376,63023495.7279635,-38428294.925535,0
"AXp.1dv",-3071218623963278,33377483.6647759,-92014684.3545432,0
"AXp.7dv",-171797438549811,4530325.90904585,-37921651.1127329,0
"NsCH3",35759522772524020,788605663.625748,45345252.28758,0
"NdCH2",5930700215768206,119766758.963639,49518750.1698093,0
"NssCH2",21662413378525028,988799006.062636,21907802.5419787,0
"NtCH",4659018718163152,72778099.8713636,64016767.7693982,0
"NdsCH",7708149515809146,340772648.04854,22619625.0196441,0
"NaaCH",56481788263549056,687688564.590737,82132801.3461486,0
"NsssCH",-1254101327353889,542761980.318148,-2310591.70102294,0
"NdssC",-4918655313525618,383818045.449071,-12815070.5050117,0
"NaasC",10907367211282414,278521615.477747,39161654.2672032,0
"NaaaC",1732536542271938,108834475.923652,15919004.7782958,0
"NssssC",-4931498088621312,174154937.368983,-28316728.5586221,0
"NsNH2",2998301843670512,364592796.406764,8223700.17515487,0
"NdNH",-4626329662741759,122138603.959526,-37877702.1577456,0
"NssNH",-803526848300039,322613885.997476,-2490676.57399696,0
"NaaNH",-2461999573436138,227268995.483396,-10832975.9992097,0
"NdsN",744267345096114,112473198.685552,6617286.19612665,0
"NaaN",7796037752191700,535470090.472026,14559240.3589141,0
"NsssN",9286580039643234,116849994.854887,79474372.6876152,0
"NddsN",122990533556919,16071901.3366265,7652519.19986802,0
"NaasN",5017425326110923,183470943.207874,27347247.6806648,0
"NssssN",2186260758553539,34985835.4424338,62489882.8599033,0
"NsOH",-128086441005356400,1883076436.09398,-68019777.9284218,0
"NdO",-60443627457316424,859569580.314596,-70318481.2975751,0
"NssO",-244818451591701984,3498955662.74747,-69969006.5233534,0
"NaaO",-61616215067279824,950082596.839533,-64853535.1265745,0
"NsssP",-136216291264745,2492405.45154114,-54652541.0544734,0
"NsSH",205659194916073,13007585.7209143,15810712.2511907,0
"NdS",-541994910216621,21593802.5357554,-25099558.5107892,0
"NssS",-2458815267586858,26673931.3141869,-92180460.3387842,0
"NaaS",-964031927004414,98480954.3613283,-9789018.93524878,0
"NdssS",-582341227863452,5892842.88809918,-98821780.7468635,0
"NddssS",-4634845405516458,79395093.138654,-58376975.481624,0
"NsssdAs",11300028082506738,174702480.759119,64681554.7976522,0
"SssCH2",768545536251178,18283634.7402917,42034614.4061569,0
"SsssCH",615983809004104,12739340.9279734,48352878.8880679,0
"SdssC",-73475940394671.1,6042161.45213995,-12160539.0681257,0
"SaasC",-191107855253981,9248221.1157678,-20664282.661684,0
"SssssC",239464138957362,11548330.9459404,20735822.3520206,0
"MAXsCH3",-69345446378596.7,3693210.94340698,-18776465.0980444,0
"MAXssCH2",-223704536094764,4022815.71255419,-55608944.599833,0
"MAXaaCH",-424308720480824,5011175.74247877,-84672488.510838,0
"MAXsssCH",-54670162572166.1,3637101.27439356,-15031245.6122855,0
"MAXdssC",272698722844021,3820334.87302064,71380842.7553905,0
"MAXaasC",201717591714982,4561433.098204,44222415.9320468,0
"MAXssNH",38475157666172.5,2862127.19052438,13442853.9002571,0
"MAXdO",-288570472313672,4755364.42914367,-60683145.6586465,0
"MAXssO",204799987713223,4135687.88201407,49520175.0122125,0
"MINsCH3",46665913004102,3481814.23259152,13402757.8402333,0
"MINssCH2",144644394081099,3601828.57669049,40158600.2779743,0
"MINaaCH",52117230051719.1,5322746.80601448,9791416.3403055,0
"MINsssCH",-125056287317990,3957998.19239771,-31595842.4534378,0
"MINdssC",-114691411941020,3926253.44692276,-29211413.2445807,0
"MINaasC",-45630133230267.2,5616004.40400822,-8125017.35178489,0
"MINdO",-23611594519598.3,4553038.80402063,-5185897.93233209,0
