"","Estimate","Std. Error","z value","Pr(>|z|)"
"maxdssC",15809167764853.8,3931274.0859012,4021385.28614693,0
"maxaasC",-27440287261238.7,5256861.36191654,-5219899.36048733,0
"maxssssC",26671971448279.2,2396605.51730586,11129062.0236335,0
"maxsSH",-72937891817578.1,2011287.5872445,-36264277.8089752,0
"maxdS",-103278498329329,3925434.33099822,-26310081.7949655,0
"maxsI",60424364155150.1,5300973.85614612,11398728.9496046,0
"hmax",51087776022971.1,5781252.35620016,8836800.89975341,0
"hmin",18146520765693.1,4750965.73834706,3819543.59704699,0
"gmin",-167513109812250,9129016.26672019,-18349524.7371744,0
"LipoaffinityIndex",1063868415834166,66025873.1029006,16112901.8949305,0
"MAXDN2",-422147640706449,8850936.15425867,-47695253.1742454,0
"ETA_AlphaP",-4793182252070145024,127430106237.221,-37614205.8859093,0
"ETA_dAlpha_A",2759804401703176192,73379174370.7176,37610186.069421,0
"ETA_dAlpha_B",-3496362935503841792,92938501816.2353,-37620177.5063805,0
"ETA_Epsilon_2",-88707797391937392,25197603081.9879,-3520485.54393448,0
"ETA_Epsilon_5",71127936710361216,20119848541.9926,3535212.33332888,0
"ETA_dEpsilon_B",-82879341092934.5,15823674.4246877,-5237679.87564432,0
"ETA_dEpsilon_D",52579729539282800,15184849834.056,3462644.02439851,0
"ETA_Psi_1",379604974859927,71275578.5233652,5325877.14788575,0
"ETA_dPsi_B",432487067199122,44924860.3966052,9626898.41172669,0
"ETA_Shape_Y",-793030392493956,24723008.2590235,-32076613.9858612,0
"ETA_Shape_X",-1102357356445430,33900841.1524066,-32517109.2802568,0
"ETA_BetaP",402095639883779,26381658.2194001,15241484.6913638,0
"ETA_BetaP_s",100168923860438,21294799.4994843,4703914.86254021,0
"ETA_Beta_ns_d",198470101815623,8575089.28365099,23144960.3905607,0
"ETA_BetaP_ns_d",-267237781576189,7788952.60567031,-34309848.2049617,0
"ETA_EtaP_F",1344965050321096,35208544.7336266,38199961.4155186,0
"ETA_EtaP_L",1197194984638483,32329533.8507043,37031000.5138661,0
"ETA_EtaP_B",-1175069629760350,36085462.7052994,-32563518.4272636,0
"FMF",638464626080892,10560649.2734734,60456948.1996348,0
"fragC",895031887221380,11650873.2810116,76821012.9518863,0
"IC0",840412217608670,56068764.627662,14988955.4940193,0
"IC1",-2250386854480141,62645069.5313888,-35922808.7910824,0
"IC2",2265788179342095,48665083.0749678,46558806.359206,0
"SIC0",-1037192797257570,62294060.6612745,-16649946.8207303,0
"SIC1",3241577199716949,64382506.3139424,50348726.4678754,0
"SIC2",-1335693002933373,37586411.4160227,-35536592.949759,0
"SIC3",-571300758732923,6258889.33616336,-91278296.8428589,0
"MIC0",-541496494970297,57382495.6308916,-9436614.58109858,0
"MIC1",-1423708923575226,26605646.559421,-53511532.6137824,0
"nAtomLC",293402728958170,6444742.18198898,45525906.3393005,0
"nAtomP",-18379730238681.3,4575871.50683609,-4016662.22734249,0
"nAtomLAC",-134251822796849,3808443.70924449,-35251098.0984098,0
"MLogP",334435736017645,55625396.1371648,6012285.02162882,0
"MDEC.11",-4777504966002,5212631.16876135,-916524.65162565,0
"MDEC.12",61131815751292.7,5051687.06826931,12101267.3439878,0
"MDEC.13",-262868391574777,3733868.54348903,-70401083.6249596,0
"MDEC.14",118854800494485,6106378.68223626,19464040.2568283,0
"MDEC.22",-112243593468874,2741270.7760549,-40945824.9981455,0
"MDEC.23",-97256887862117.6,3376777.46807443,-28801687.0467858,0
"MDEC.33",-58715447194088.6,3169402.61099056,-18525714.2751383,0
"MDEC.44",-191047168338404,4731094.34823924,-40381179.1260314,0
"MDEO.11",-105844018341206,3209302.10340853,-32980384.8097665,0
"MDEO.12",-329956494881235,7707092.96162609,-42812055.923563,0
"MDEO.22",82607176486200.9,6058925.95661857,13633963.6888884,0
"MDEN.11",-827764351674.867,4798587.49927127,-172501.668834959,0
"MDEN.12",-71741947141728.2,6309384.79496917,-11370672.3354283,0
"MDEN.13",-30949332104651.7,2340928.12242908,-13220966.4227268,0
"MDEN.22",-361105880719413,5863713.45521674,-61583138.9915805,0
"MDEN.23",25404522498220.7,4003126.39675274,6346170.46287331,0
"MDEN.33",-219075186763148,3039246.56630227,-72082070.994881,0
"MLFER_A",-263923919544727,4704212.79751565,-56103737.4168336,0
"R_TpiPCTPC",-513332494681440,5525743.7987641,-92898352.3985049,0
"PetitjeanNumber",165171181161305,2400360.74484996,68810982.4807311,0
"nRing",16548162241054284,354312308.891447,46705016.522935,0
"n4Ring",-1351402407197353,30725499.3265978,-43983090.1634038,0
"n5Ring",-9050884624648466,185707278.03842,-48737371.6326616,0
"n6Ring",-14089304447166384,282231099.087697,-49921162.0998169,0
"n7Ring",-1888895983419184,40916202.2190699,-46164987.9748327,0
"n8Ring",-608459890777150,13658662.1443731,-44547546.7762275,0
"n9Ring",-328952017579159,7315134.75273924,-44968688.7115755,0
"n10Ring",-443085964895008,5373899.42070096,-82451480.7977579,0
"n12Ring",-444350459317082,10164809.1633082,-43714589.4407,0
"nG12Ring",-1632691980946378,33692246.1938407,-48458982.8636849,0
"nFRing",15000295135399.6,2986311.58377395,5023017.42956206,0
"nF6Ring",-173934032369840,5351046.81024373,-32504674.0456224,0
"nF7Ring",170902802585432,3720113.12567984,45940216.5503234,0
"nF8Ring",66684584842843.3,5776208.55971943,11544698.2485831,0
"nF9Ring",-9661688621541.04,4228735.82451999,-2284769.96967238,0
"nF10Ring",153128255454480,5698005.57335556,26874009.4201597,0
"nF11Ring",-37188911094446,2573344.390913,-14451587.2907519,0
"nF12Ring",-35073411717317.8,2383658.29343611,-14714110.5811599,0
"nHeteroRing",-227179918580878,10691001.4448265,-21249638.750242,0
"n3HeteroRing",-16043148595270.3,1872455.01246689,-8567975.4591989,0
"n6HeteroRing",385063649929038,8142619.59913829,47289897.9549269,0
"n8HeteroRing",76409969542061.5,2213049.0923742,34527010.6322348,0
"nF6HeteroRing",270638356453889,2909326.08899083,93024414.649843,0
"nF7HeteroRing",-8568328182088.05,4963443.57550452,-1726287.01258422,0
"nF8HeteroRing",-12400619346073.4,4955750.86312335,-2502268.51360682,0
"nF10HeteroRing",-59373781786222.2,3793054.71007104,-15653289.0571225,0
"nT7HeteroRing",7822520773528,4856224.98963345,1610823.38446565,0
"RotBFrac",-870176076696952,32271193.5066341,-26964483.8675727,0
"RotBtFrac",1702629590453710,38768930.2195994,43917373.5465354,0
"LipinskiFailures",142637115065198,3521823.76493647,40500923.5514006,0
