parent_smiles,ring_fragment
c1ccc(N[C@H]2CO[C@@]3(CC[N@](Cc4cccnc4)C3)C2)nc1,CC1(C)C[C@@H](N)CO1
c1ccc(N[C@H]2CO[C@@]3(CC[N@](Cc4cccnc4)C3)C2)nc1,CN1CC[C@@](C)(O)C1
c1ccc(N[C@H]2CO[C@@]3(CC[N@](Cc4cccnc4)C3)C2)nc1,Cc1cccnc1
Cc1ccc(CSC/C(O)=N/S(=O)(=O)c2ccccc2F)cc1,Cc1ccc(C)cc1
Cc1ccc(CSC/C(O)=N/S(=O)(=O)c2ccccc2F)cc1,Fc1ccccc1S
COc1cccc(CC(=O)N2CCN(C(=O)C[C@@H]3C=CCC3)CC2)c1,Cc1cccc(O)c1
COc1cccc(CC(=O)N2CCN(C(=O)C[C@@H]3C=CCC3)CC2)c1,CN1CCN(C)CC1
COc1cccc(CC(=O)N2CCN(C(=O)C[C@@H]3C=CCC3)CC2)c1,C[C@@H]1C=CCC1
Cc1ccccc1COC1CN(C(=O)CC[C@H]2CCC[N@@](C)C2)C1,Cc1ccccc1C
Cc1ccccc1COC1CN(C(=O)CC[C@H]2CCC[N@@](C)C2)C1,CN1CC(O)C1
Cc1ccccc1COC1CN(C(=O)CC[C@H]2CCC[N@@](C)C2)C1,C[C@H]1CCCN(C)C1
CC(=O)Nc1cc(C(=O)N2CCC[C@@H](CN3CCOCC3)C2)ccc1C,Cc1ccc(C)c(N)c1
CC(=O)Nc1cc(C(=O)N2CCC[C@@H](CN3CCOCC3)C2)ccc1C,C[C@@H]1CCCN(C)C1
CC(=O)Nc1cc(C(=O)N2CCC[C@@H](CN3CCOCC3)C2)ccc1C,CN1CCOCC1
COc1ccccc1NS(=O)(=O)c1cc(C(=O)NC[C@@H]2CCCO2)ccc1C,Nc1ccccc1O
COc1ccccc1NS(=O)(=O)c1cc(C(=O)NC[C@@H]2CCCO2)ccc1C,Cc1ccc(C)c(S)c1
COc1ccccc1NS(=O)(=O)c1cc(C(=O)NC[C@@H]2CCCO2)ccc1C,C[C@@H]1CCCO1
C/C(=N\N=C(N)N)c1cccc(/C(C)=N/NC(=N)N)n1,Cc1cccc(C)n1
O=C1OC(/C=C/c2cccc([N+](=O)[O-])c2)=N/C1=C\Nc1ccccc1,C=C1N=C(C)OC1=O
O=C1OC(/C=C/c2cccc([N+](=O)[O-])c2)=N/C1=C\Nc1ccccc1,Cc1cccc([N+])c1
O=C1OC(/C=C/c2cccc([N+](=O)[O-])c2)=N/C1=C\Nc1ccccc1,Nc1ccccc1
C=CCNC(=O)NC(=O)[C@H](C)N1CCC(Nc2ccccc2OC)CC1,CN1CCC(N)CC1
C=CCNC(=O)NC(=O)[C@H](C)N1CCC(Nc2ccccc2OC)CC1,Nc1ccccc1O
CCOc1ccccc1NCc1noc(Cc2ccccc2C)n1,Nc1ccccc1O
CCOc1ccccc1NCc1noc(Cc2ccccc2C)n1,Cc1noc(C)n1
CCOc1ccccc1NCc1noc(Cc2ccccc2C)n1,Cc1ccccc1C
Cc1ccc(CNC(=O)[C@@H](C)OC(=O)[C@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1,Cc1ccc(C)cc1
Cc1ccc(CNC(=O)[C@@H](C)OC(=O)[C@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1,C[C@H]1CC(=O)N(C)C1
Cc1ccc(CNC(=O)[C@@H](C)OC(=O)[C@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1,Cc1ccc(N)cc1
Cc1ccc(-c2nnc3c4ccc(Cl)cc4nc(N4CCCN(C(=O)C5CC5)CC4)n23)cc1,Cc1ccc(C)cc1
Cc1ccc(-c2nnc3c4ccc(Cl)cc4nc(N4CCCN(C(=O)C5CC5)CC4)n23)cc1,Cc1nnc2c3ccc(Cl)cc3nc(N)n12
Cc1ccc(-c2nnc3c4ccc(Cl)cc4nc(N4CCCN(C(=O)C5CC5)CC4)n23)cc1,CN1CCCN(C)CC1
Cc1ccc(-c2nnc3c4ccc(Cl)cc4nc(N4CCCN(C(=O)C5CC5)CC4)n23)cc1,CC1CC1
Nc1nonc1-n1nnc(C(=O)N/N=C\c2cccs2)c1-c1cccs1,Nc1nonc1N
Nc1nonc1-n1nnc(C(=O)N/N=C\c2cccs2)c1-c1cccs1,Cc1nnn(C)c1C
Nc1nonc1-n1nnc(C(=O)N/N=C\c2cccs2)c1-c1cccs1,Cc1cccs1
Nc1nonc1-n1nnc(C(=O)N/N=C\c2cccs2)c1-c1cccs1,Cc1cccs1
Cc1cccc2cc(-c3noc(C(C)C)n3)c(NCc3ccc(N(C)C)cc3)nc12,Cc1cc2cccc(C)c2nc1N
Cc1cccc2cc(-c3noc(C(C)C)n3)c(NCc3ccc(N(C)C)cc3)nc12,Cc1noc(C)n1
Cc1cccc2cc(-c3noc(C(C)C)n3)c(NCc3ccc(N(C)C)cc3)nc12,Cc1ccc(N)cc1
CN(C)CCN[C@H](CC(=O)Nc1ccccc1)C(=O)O,Nc1ccccc1
C=CCN(CC=C)C(=O)CN[C@H](C)c1cn(C)nc1C,Cc1cn(C)nc1C
CCCOc1cccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3ccccc3N2C(=O)C(F)(F)F)c1,Cc1cccc(O)c1
CCCOc1cccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3ccccc3N2C(=O)C(F)(F)F)c1,C[C@H]1C2=C(CC(C)(C)CC2=O)Nc2ccccc2N1C
Cc1ccc(C)c(C2=NN3[C@@H](c4ccc([N+](=O)[O-])cc4)Oc4ccccc4[C@@H]3C2)c1,Cc1ccc(C)c(C)c1
Cc1ccc(C)c(C2=NN3[C@@H](c4ccc([N+](=O)[O-])cc4)Oc4ccccc4[C@@H]3C2)c1,Cc1ccc([N+])cc1
Cc1ccc(C)c(C2=NN3[C@@H](c4ccc([N+](=O)[O-])cc4)Oc4ccccc4[C@@H]3C2)c1,CC1=NN2[C@@H](C)Oc3ccccc3[C@@H]2C1
O=c1[nH][nH]c(=O)n1/N=C/c1cccc(Cl)c1Cl,Nn1c(=O)[nH][nH]c1=O
O=c1[nH][nH]c(=O)n1/N=C/c1cccc(Cl)c1Cl,Cc1cccc(Cl)c1Cl
Sc1nnc(-c2ccc(Cl)cc2Cl)[nH]1,Cc1nnc(S)[nH]1
Sc1nnc(-c2ccc(Cl)cc2Cl)[nH]1,Cc1ccc(Cl)cc1Cl
C=C1N=C2C[C@H](C)[C@H](C(=O)OC)C(=O)C2[C@@H](c2ccccc2C)C1C(=O)OCCC,C=C1N=C2C[C@H](C)[C@H](C)C(=O)C2[C@@H](C)C1C
C=C1N=C2C[C@H](C)[C@H](C(=O)OC)C(=O)C2[C@@H](c2ccccc2C)C1C(=O)OCCC,Cc1ccccc1C
CCc1ccccc1NC(=S)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,Cc1ccccc1N
CCc1ccccc1NC(=S)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,CN1CCOCC1
CCc1ccccc1NC(=S)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,Cc1ccc2[nH]c(=O)c(C)cc2c1
O=C(C[C@H]1NC(=O)c2ccccc21)N[C@@H]1N=Nc2ccc(Br)cc21,C[C@H]1NC(=O)c2ccccc21
O=C(C[C@H]1NC(=O)c2ccccc21)N[C@@H]1N=Nc2ccc(Br)cc21,N[C@@H]1N=Nc2ccc(Br)cc21
C[C@]1(c2ccc3c(c2)CCC3)NC(=O)N(CN2CCN(CCOc3ccc(Cl)cc3)CC2)C1=O,Cc1ccc2c(c1)CCC2
C[C@]1(c2ccc3c(c2)CCC3)NC(=O)N(CN2CCN(CCOc3ccc(Cl)cc3)CC2)C1=O,CN1C(=O)NC(C)(C)C1=O
C[C@]1(c2ccc3c(c2)CCC3)NC(=O)N(CN2CCN(CCOc3ccc(Cl)cc3)CC2)C1=O,CN1CCN(C)CC1
C[C@]1(c2ccc3c(c2)CCC3)NC(=O)N(CN2CCN(CCOc3ccc(Cl)cc3)CC2)C1=O,Oc1ccc(Cl)cc1
Nc1nc2ccc(OC(F)F)cc2s1,Nc1nc2ccc(O)cc2s1
COCCCNC(=O)[C@H](C)C1CCN(C(=O)c2ccc3oc(-c4ccccc4)nc3c2)CC1,CC1CCN(C)CC1
COCCCNC(=O)[C@H](C)C1CCN(C(=O)c2ccc3oc(-c4ccccc4)nc3c2)CC1,Cc1ccc2oc(C)nc2c1
COCCCNC(=O)[C@H](C)C1CCN(C(=O)c2ccc3oc(-c4ccccc4)nc3c2)CC1,Cc1ccccc1
COc1ccc(CC(=O)/N=C2\S[C@@H]3CS(=O)(=O)C[C@@H]3N2c2c(C)cccc2C)cc1,Cc1ccc(O)cc1
COc1ccc(CC(=O)/N=C2\S[C@@H]3CS(=O)(=O)C[C@@H]3N2c2c(C)cccc2C)cc1,CN1C(=N)S[C@@H]2CS(=O)(=O)C[C@@H]21
COc1ccc(CC(=O)/N=C2\S[C@@H]3CS(=O)(=O)C[C@@H]3N2c2c(C)cccc2C)cc1,Cc1cccc(C)c1N
COc1cccc(N[C@@H]2COC3(CCN(Cc4ccc(C)s4)CC3)C2)c1,Nc1cccc(O)c1
COc1cccc(N[C@@H]2COC3(CCN(Cc4ccc(C)s4)CC3)C2)c1,CC1(C)C[C@H](N)CO1
COc1cccc(N[C@@H]2COC3(CCN(Cc4ccc(C)s4)CC3)C2)c1,CN1CCC(C)(O)CC1
COc1cccc(N[C@@H]2COC3(CCN(Cc4ccc(C)s4)CC3)C2)c1,Cc1ccc(C)s1
