"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATSC3se",-1952043410514771,31133934.2873748,-62698256.9082619,0
"AATSC4se",-1051008439683593,37968005.2506298,-27681423.6814866,0
"AATSC5se",-1141689936804788,32748176.9461781,-34862702.0881548,0
"AATSC6se",-1286212894618200,27144668.6641802,-47383628.4587062,0
"AATSC7se",-1756142576581258,19136283.6787746,-91770304.310921,0
"AATSC8se",-1582090449417767,19949193.1006251,-79305987.0360467,0
"AATSC0p",20109445610279728,345483694.336124,58206641.7025027,0
"AATSC1p",-3811959578980176,81634069.198664,-46695694.7803671,0
"AATSC2p",-2505189142181968,55167651.0201475,-45410473.2729523,0
"AATSC3p",3370007705431909,51597043.0792365,65313969.6446685,0
"AATSC4p",-1968107462918169,59743417.8198156,-32942666.0666439,0
"AATSC5p",-2656613201654278,40140011.9556038,-66183667.4237313,0
"AATSC6p",978209025544114,38743226.9644983,25248517.0231298,0
"AATSC7p",-1550349104181211,38738563.5625993,-40020820.6397724,0
"AATSC8p",-571189501423139,38975645.6497919,-14655036.289981,0
"AATSC0i",-2132850965233115,67629000.1140014,-31537520.3187655,0
"AATSC1i",1206527500628535,45533231.0931052,26497735.2070943,0
"AATSC2i",2649880091640974,33533536.9083966,79021789.406815,0
"AATSC3i",882559493827763,29457901.0625723,29960026.4103371,0
"AATSC4i",1603101047300398,29210999.9114921,54880046.974007,0
"AATSC5i",2990151421439250,24364805.0639751,122724208.693152,0
"AATSC6i",703349116921036,17972779.8295233,39134130.8129569,0
"AATSC7i",1227056688512778,15359808.9404083,79887496.8610229,0
"AATSC8i",1545805946742459,13470177.0561815,114757656.138832,0
"MATS1c",-655420879622638,36586365.9595591,-17914347.6656608,0
"MATS2c",1055376147959000,34091625.9509225,30957049.3785863,0
"MATS3c",-189396126310591,28885897.3608425,-6556698.72203225,0
"MATS4c",-769519084574150,24706008.9729299,-31147041.4107476,0
"MATS5c",-406673354558472,18352612.7324682,-22158880.6175272,0
"MATS1s",1851662269535368,18454550.3884186,100336352.312187,0
"MATS2s",-481109416101468,20944598.9227613,-22970571.9300563,0
"MATS3s",678118691989582,13825194.7819932,49049485.5720083,0
"MATS4s",-944605163778147,14535415.2713205,-64986458.6698069,0
"MATS5s",-604153262065673,14919921.4290595,-40493059.2254304,0
"MATS6s",-307212734596727,12383247.8508008,-24808736.6334076,0
"MATS7s",-90960886681627.7,13156713.3353959,-6913648.14014095,0
"MATS8s",-212929227673472,12635292.1294346,-16851943.3893769,0
"MATS1Z",-2356790494937793,27430775.7995114,-85917748.4502561,0
"MATS2Z",-925145052855480,27988986.9237253,-33053895.6403337,0
"MATS3Z",1612295695260381,25319107.1331587,63679010.7479292,0
"MATS4Z",629094459197331,29307743.366528,21465127.8786552,0
"MATS5Z",-863692178042646,26149670.5155317,-33028797.7253729,0
"MATS6Z",102413474020814,27751148.2432879,3690422.93756562,0
"MATS7Z",-1246437013971736,27787517.4131235,-44856004.7823152,0
"MATS8Z",-193462476503741,24822524.9241708,-7793827.46496339,0
"MATS1se",557963024388625,24022785.2612305,23226408.5251223,0
"MATS2se",-646175573590410,29137706.6691876,-22176610.5660513,0
"MATS3se",-1017034067808702,20057268.0570317,-50706510.2244646,0
"MATS4se",83653068568665.7,19914036.2042811,4200708.87240237,0
"MATS5se",-769970900562880,20505720.9341214,-37549077.3056241,0
"MATS1p",444331758332442,64060675.0274936,6936107.9654834,0
"MATS3p",-1338634382059144,46699865.4394833,-28664630.3894351,0
"MATS4p",-1957596820122909,44856387.1689551,-43641428.6498256,0
"MATS5p",2905972694357906,37888287.5927087,76698443.7406228,0
"MATS6p",-1868260736079978,30547577.0409075,-61159048.1817302,0
"MATS7p",-125481231656163,33569820.1606439,-3737917.899342,0
"MATS8p",-2350616772926062,31937923.9705602,-73599548.1451086,0
"MATS3i",2514230119328233,30783997.5299157,81673282.2592297,0
"MATS4i",-756418859733807,23175343.6439095,-32638949.0208312,0
"MATS5i",-820689696824999,20557296.2263093,-39922064.0589241,0
"GATS1c",-470826243155683,28334292.1833045,-16616834.4742739,0
"GATS2c",1915374690597469,27916205.7806817,68611569.4104436,0
"GATS3c",744583569963401,13046012.7785518,57073650.2103944,0
"GATS4c",554947155012621,11426019.6262155,48568720.618978,0
"GATS5c",-790368528914058,10625343.9619425,-74385218.1863452,0
"GATS6c",-126525778298570,8698517.25287865,-14545671.9369842,0
"GATS7c",235908957562802,8220102.62960002,28699028.2473251,0
"GATS8c",419607632506501,7151458.15553112,58674416.2352353,0
"GATS1dv",85545641384993.4,32986778.8294534,2593331.15934955,0
"GATS2dv",2433200766250254,34125518.0778167,71301504.0739252,0
"GATS3dv",-1245246780757444,18720794.6681387,-66516769.3376154,0
"GATS4dv",-1082686065483584,18082165.1271983,-59875908.5467624,0
"GATS5dv",2615175007520055,20235593.7934214,129236385.856404,0
"GATS6dv",-514066180379468,18852616.9767063,-27267629.7945601,0
"GATS7dv",141669457641946,20632533.1729725,6866314.30344801,0
"GATS8dv",474813776124880,15180449.9656382,31277977.7410846,0
"GATS1d",319504802739468,40150825.7038704,7957614.74735172,0
"GATS2d",-1641399145774815,26981228.789719,-60834855.1716169,0
"GATS3d",466499898097183,19740415.864527,23631715.8310464,0
"GATS4d",92234100168005.7,16491880.1494574,5592697.69923961,0
"GATS5d",-304009883660471,18892398.9861415,-16091650.6095111,0
"GATS6d",-465103100353171,16204352.710704,-28702356.0062316,0
"GATS7d",792676155912963,17425206.8098793,45490200.7512217,0
"GATS8d",-479718915225704,13404282.9628941,-35788480.1860471,0
"GATS1s",1838430902045445,25182731.6185017,73003633.1997738,0
"GATS2s",-1018114468306243,19025045.0383845,-53514431.4377243,0
"GATS3s",-103262180809313,11428916.6162278,-9035167.9233263,0
"GATS4s",-210186170353830,11540857.5060977,-18212352.9592819,0
"GATS5s",-534143252607534,12133774.3303053,-44021195.554417,0
"GATS6s",192916388172502,10820413.4561867,17828929.4539109,0
"GATS7s",548890322201421,12307363.1202609,44598531.5325437,0
"GATS8s",-347333435994417,10465687.0099962,-33187829.4910467,0
"GATS1Z",-2848449497150022,40712763.2241415,-69964533.762252,0
"GATS2Z",-382821759144939,35076735.4873927,-10913836.5878584,0
"GATS3Z",1281276768268019,23826458.1058858,53775377.0440394,0
"GATS4Z",989565166661270,24972676.1675296,39625915.9419982,0
"GATS5Z",-1366962908886057,21599537.8694117,-63286673.8700873,0
"GATS6Z",813717759730340,21691415.5946202,37513354.3581248,0
"GATS7Z",-2465757831637799,24462423.84965,-100797772.403616,0
"GATS8Z",987233798010700,23239471.3926813,42480905.9263545,0
"GATS2v",-458923462229564,72675096.8752934,-6314727.90489777,0
"GATS3v",-2306055885159981,50962040.5183883,-45250462.1420703,0
"GATS7v",754111173242148,30829576.6062177,24460639.9521574,0
"GATS1se",1171039908794796,27906825.6990338,41962490.5184161,0
"GATS2se",-1572148823637848,29027638.6833696,-54160410.3863453,0
"GATS3se",-104923583135303,16277325.9415468,-6445996.32102299,0
"GATS4se",16948939248279.6,17306994.233979,979311.544173485,0
"GATS5se",-64859135687117.7,17600168.7365799,-3685142.83344997,0
"GATS6se",-450634471464136,13578818.1226857,-33186575.3994653,0
"GATS7se",298198883422413,16011264.8124708,18624317.7484738,0
"GATS8se",-703398508704084,12566872.6391643,-55972438.7205103,0
"GATS1p",892416061650564,78332857.436914,11392614.6811289,0
