parent_smiles,ring_fragment,chembl_id,parent_mol,fragment_mol
CNC[C@H](O)c1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL679,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3940>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2880>
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL677,<rdkit.Chem.rdchem.Mol object at 0x7f28284e39a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c28e0>
CCC1(CC)C(=O)NCC(C)C1=O,CC1CNC(=O)C(C)(C)C1=O,CHEMBL1200790,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3a00>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2940>
CCC1(CC)C(=O)NC(=O)NC1=O,CC1(C)C(=O)NC(=O)NC1=O,CHEMBL444,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3a60>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c29a0>
Cc1ccc(-c2ccc(C)cn2)nc1,Cc1ccc(C)nc1,CHEMBL2205807,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3ac0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2a00>
Cc1ccc(-c2ccc(C)cn2)nc1,Cc1ccc(C)nc1,CHEMBL2205807,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3b20>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2a60>
Cc1ncc([N+](=O)[O-])n1CC(C)O,Cc1ncc([N+])n1C,CHEMBL498847,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3b80>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2ac0>
Cc1ccc(=O)n(-c2ccccc2)c1,Cc1ccc(=O)n(C)c1,CHEMBL1256391,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3be0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2b20>
Cc1ccc(=O)n(-c2ccccc2)c1,Nc1ccccc1,CHEMBL1256391,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3c40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2b80>
NCc1ccc(S(N)(=O)=O)cc1,Cc1ccc(S)cc1,CHEMBL419,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3ca0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2be0>
CCOC(=O)n1ccn(C)c1=S,Cn1ccn(C)c1=S,CHEMBL508102,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3d00>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2c40>
Nc1cc(-c2ccncc2)c[nH]c1=O,Cc1c[nH]c(=O)c(N)c1,CHEMBL12856,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3d60>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2ca0>
Nc1cc(-c2ccncc2)c[nH]c1=O,Cc1ccncc1,CHEMBL12856,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3dc0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2d00>
C#CCN(C)[C@H](C)Cc1ccccc1,Cc1ccccc1,CHEMBL972,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3e20>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2d60>
Cc1cc(=O)n(-c2ccccc2)n1C,Cc1cc(=O)n(C)n1C,CHEMBL277474,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3e80>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2dc0>
Cc1cc(=O)n(-c2ccccc2)n1C,Nc1ccccc1,CHEMBL277474,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3ee0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2e20>
S=P(N1CC1)(N1CC1)N1CC1,PN1CC1,CHEMBL671,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3f40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2e80>
S=P(N1CC1)(N1CC1)N1CC1,PN1CC1,CHEMBL671,<rdkit.Chem.rdchem.Mol object at 0x7f28284e3fa0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2ee0>
S=P(N1CC1)(N1CC1)N1CC1,PN1CC1,CHEMBL671,<rdkit.Chem.rdchem.Mol object at 0x7f28284e4040>,<rdkit.Chem.rdchem.Mol object at 0x7f28284c2f40>
