parent_smiles,ring_fragment,chembl_id
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Cc1ccccc1,CHEMBL1163
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Cc1ccc(C)cc1,CHEMBL1163
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Cc1ccccn1,CHEMBL1163
O=C(O)c1ccccc1-c1c2cc(Br)c(=O)cc-2oc2c([Hg]O)c(O)c(Br)cc12,Cc1ccccc1C,CHEMBL3833381
O=C(O)c1ccccc1-c1c2cc(Br)c(=O)cc-2oc2c([Hg]O)c(O)c(Br)cc12,Cc1c2cc(Br)c(=O)cc-2oc2c([Hg])c(O)c(Br)cc12,CHEMBL3833381
CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,CC1CCN(C)CC1,CHEMBL2106439
CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,CN1c2ccccc2Sc2ccc(S)cc21,CHEMBL2106439
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,Cc1cccnc1N,CHEMBL1183349
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,Cn1c[n+](C)cn1,CHEMBL1183349
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,Cc1cc(F)ccc1F,CHEMBL1183349
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,Cc1csc(C)n1,CHEMBL1183349
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,Cc1ccc(C)cc1,CHEMBL1183349
C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC,CC1=CC=C2c3cc4[nH]c(cc5nc(cc6[nH]c(cc(n3)C2(C)C1C)c(C)c6C)C(C)=C5C)c(C)c4C,CHEMBL2218885
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Cc1csc(C)n1,CHEMBL163
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Cc1ccccc1,CHEMBL163
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Cc1ccccc1,CHEMBL163
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Cc1cncs1,CHEMBL163
CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,C[C@@H]1O[C@@H](O)C[C@H](N)[C@@H]1O,CHEMBL1096885
CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,C[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O)C1)C(=O)c1c(O)cccc1C3=O,CHEMBL1096885
C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@H]3[C@H](C[C@H]4O[C@@H](CC[C@@H]1O2)C[C@@H](C)C4=C)O[C@H](C[C@H](O)CN)[C@@H]3OC,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](O)[C@@H](C)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,CHEMBL1683590
CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@@]5(C)COC[C@@]4(C[C@@H](n4ncnc4-c4ccncc4)[C@@H]5OC[C@](C)(N)C(C)(C)C)C3=CC[C@@]2(C)[C@@H]1C(=O)O,Cc1ncnn1C,CHEMBL4297513
CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@@]5(C)COC[C@@]4(C[C@@H](n4ncnc4-c4ccncc4)[C@@H]5OC[C@](C)(N)C(C)(C)C)C3=CC[C@@]2(C)[C@@H]1C(=O)O,Cc1ccncc1,CHEMBL4297513
CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@@]5(C)COC[C@@]4(C[C@@H](n4ncnc4-c4ccncc4)[C@@H]5OC[C@](C)(N)C(C)(C)C)C3=CC[C@@]2(C)[C@@H]1C(=O)O,C[C@@H]1C(C)(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](O)[C@H](N)C5)C3=CC[C@@]12C,CHEMBL4297513
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@@H]1O,CHEMBL532
