parent_smiles,ring_fragment
O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,Cc1ccc2nccn2c1
Cc1c(N)nc(C2CC2)nc1Cl,Cc1nc(N)c(C)c(Cl)n1
Cc1c(N)nc(C2CC2)nc1Cl,CC1CC1
O=S(=O)(O)O[C@@H]([C@H](O)[C@@H](O)[C@@H](O)CO)[C@H](O)C[S]1C[C@@H](O)[C@H](O)[C@H]1CO,C[C@@H]1[C@@H](O)[C@H](O)C[S]1C
N[C@@H](Cc1cc(Cl)c([N+](=O)[O-])cc1CCC(=O)O)C(=O)O,Cc1cc([N+])c(Cl)cc1C
O=C(O)CNC(=O)c1nc(Cl)c2ccccc2c1O,Cc1nc(Cl)c2ccccc2c1O
N=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[PH](=O)(=O)O)[C@@H](O)[C@H]3O)c2[nH]1,Cn1cnc2c(=O)[nH]c(=N)[nH]c21
N=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[PH](=O)(=O)O)[C@@H](O)[C@H]3O)c2[nH]1,C[C@H]1O[C@@H](N)[C@H](O)[C@@H]1O
N=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[PH](=O)(=O)O)[C@@H](O)[C@H]3O)c2[nH]1,Cn1cnc2c(N)ncnc21
NCCCC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,Cc1ccc(O)cc1
NCCCC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,Cc1ccccc1
N[C@H](CO)Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1,Cc1cc(I)c(O)c(I)c1
N[C@H](CO)Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1,Oc1ccc(O)cc1
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCCC1,Cc1cnc2[nH]cc(C)c2n1
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCCC1,CC1CC1
C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCCC1,CN1CCCCC1
COc1cc(-c2nc(-c3cc(OC)c(OC)c(OC)c3)cnc2N)ccc1C(=O)O,Cc1ccc(C)c(O)c1
COc1cc(-c2nc(-c3cc(OC)c(OC)c(OC)c3)cnc2N)ccc1C(=O)O,Cc1cnc(N)c(C)n1
COc1cc(-c2nc(-c3cc(OC)c(OC)c(OC)c3)cnc2N)ccc1C(=O)O,Cc1cc(O)c(O)c(O)c1
COc1ccc(Nc2nc(N3CC[C@H](NC(=O)c4ccc(C(=O)O)cc4)C3)nc3scnc23)cc1OC,Nc1ccc(O)c(O)c1
COc1ccc(Nc2nc(N3CC[C@H](NC(=O)c4ccc(C(=O)O)cc4)C3)nc3scnc23)cc1OC,CN1CC[C@H](N)C1
COc1ccc(Nc2nc(N3CC[C@H](NC(=O)c4ccc(C(=O)O)cc4)C3)nc3scnc23)cc1OC,Cc1ccc(C)cc1
COc1ccc(Nc2nc(N3CC[C@H](NC(=O)c4ccc(C(=O)O)cc4)C3)nc3scnc23)cc1OC,Nc1nc(N)c2ncsc2n1
CC(C)(C)c1cc(C(=O)N2CCOCC2)ccc1O,Cc1ccc(O)c(C)c1
CC(C)(C)c1cc(C(=O)N2CCOCC2)ccc1O,CN1CCOCC1
COc1ccc2[nH]ccc2c1,Oc1ccc2[nH]ccc2c1
CSc1nc(Cl)c(C=O)c(NCc2ccc(S(N)(=O)=O)cc2)n1,Cc1c(N)nc(S)nc1Cl
CSc1nc(Cl)c(C=O)c(NCc2ccc(S(N)(=O)=O)cc2)n1,Cc1ccc(S)cc1
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3[C@@H](O)CO[C@@H]3C2)cc1,Oc1ccc(S)cc1
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3[C@@H](O)CO[C@@H]3C2)cc1,Cc1ccccc1
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3[C@@H](O)CO[C@@H]3C2)cc1,O[C@@H]1C[C@@H]2[C@@H](O)CO[C@@H]2C1
CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1ccccc1,Sc1ccccc1
CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1ccccc1,C[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](C)C(=O)N1
CCOc1cc(-c2nc(-c3cc(OC)c(OC)c(OC)c3)cnc2N)ccc1C(=O)O,Cc1ccc(C)c(O)c1
CCOc1cc(-c2nc(-c3cc(OC)c(OC)c(OC)c3)cnc2N)ccc1C(=O)O,Cc1cnc(N)c(C)n1
CCOc1cc(-c2nc(-c3cc(OC)c(OC)c(OC)c3)cnc2N)ccc1C(=O)O,Cc1cc(O)c(O)c(O)c1
O=C(O)C[C@@]12O[C@H]3C=CCN[C@H]3[C@@H]1C(=O)N[C@H]2C(=O)O,C[C@@H]1NC(=O)[C@H]2[C@@H]3NCC=C[C@@H]3O[C@@]12C
CC(=O)N[C@H]1C(=O)O[C@H](CO)[C@@H](O)[C@@H]1O,C[C@H]1OC(=O)[C@H](N)[C@@H](O)[C@@H]1O
C/C(=C1/C(=O)Nc2ccc(O)cc21)c1ccc[nH]1,C=C1C(=O)Nc2ccc(O)cc21
C/C(=C1/C(=O)Nc2ccc(O)cc21)c1ccc[nH]1,Cc1ccc[nH]1
C[C@@H]1CCN(C(=O)N2CC[C@@H](S(=O)(=O)c3ccccc3)C2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,C[C@@H]1CCN(C)C[C@@H]1N
C[C@@H]1CCN(C(=O)N2CC[C@@H](S(=O)(=O)c3ccccc3)C2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CN1CC[C@@H](S)C1
C[C@@H]1CCN(C(=O)N2CC[C@@H](S(=O)(=O)c3ccccc3)C2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,Sc1ccccc1
C[C@@H]1CCN(C(=O)N2CC[C@@H](S(=O)(=O)c3ccccc3)C2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,Nc1ncnc2[nH]ccc12
CCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)O)C(C)C,Cc1ccc(O)cc1
