"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATS4e",743754153039790,42416142.4811388,17534695.7439733,0
"AATS5e",1069659984530142,37539392.2139613,28494334.1232979,0
"AATS6e",-664273146976927,9361315.89919887,-70959377.306536,0
"AATS7e",-199944913973017,11848683.7043936,-16874862.9773006,0
"AATS8e",-228794475867384,12417440.2164403,-18425252.8604461,0
"AATS0p",560907041651102,166019036.138221,3378570.64285154,0
"AATS2p",226965580939130,42111067.332673,5389689.58317125,0
"AATS3p",621096154583841,57327243.9206204,10834223.1739565,0
"AATS4p",1023588610610031,41096471.0771827,24906970.9340163,0
"AATS0i",537204546138418,63846997.0344717,8413935.98900784,0
"AATS1i",83813050712402.6,37191769.7745682,2253537.5762009,0
"AATS2i",-415468167174627,44401990.9716014,-9356971.57004407,0
"AATS3i",1081314518944163,29483150.1594331,36675677.9074436,0
"AATS4i",-502876844252109,30197772.8208813,-16652779.2375594,0
"AATS5i",-762281097373749,27260395.9075119,-27962950.3533253,0
"AATS0s",362991982511799,52178835.3190892,6956690.01218587,0
"AATS1s",-489158682692385,24781714.0498747,-19738694.4949782,0
"AATS2s",-2204555845376969,33589689.7889199,-65631920.3669507,0
"AATS3s",285836925795165,17126189.8556328,16690047.7108254,0
"AATS4s",-18992788672227.9,16592525.3147219,-1144659.31568453,0
"AATS5s",-98755702709097.4,11380087.8418318,-8677938.52575403,0
"AATS6s",120854684803766,6722207.81925138,17978421.3837687,0
"AATS7s",148160142570746,6490851.11409,22825996.1546688,0
"AATS8s",147777587244190,7376847.52157626,20032620.5485421,0
"ATSC0c",-142233991018424,25336096.197125,-5613887.39258748,0
"ATSC3c",-687888557675579,23943255.4818995,-28729951.0375941,0
"ATSC4c",-249574212206650,18164465.675605,-13739694.6689068,0
"ATSC5c",286847238104226,23785275.3120944,12059866.2130418,0
"ATSC6c",716539915942039,25406728.3717072,28202762.0974598,0
"ATSC7c",363297790813988,16936216.544841,21450941.5282985,0
"ATSC8c",237236294738295,8402651.70992413,28233503.2949303,0
"ATSC1m",564539984186855,18306203.6055075,30838725.2951241,0
"ATSC2m",113295395916465,12886713.363368,8791643.97638583,0
"ATSC3m",-786240081190522,10279260.7841249,-76487998.2814307,0
"ATSC4m",423660312148242,23695774.7060127,17879150.0765214,0
"ATSC5m",-472655045667958,10288138.2350088,-45941747.1724469,0
"ATSC6m",-500002299187777,12397881.1561296,-40329657.3737984,0
"ATSC7m",-171418559528435,11518436.1283669,-14882103.5788249,0
"ATSC8m",250152135603558,13259093.9968041,18866457.6677602,0
"ATSC1v",1027652964051285,35204771.013812,29190729.9623708,0
"ATSC2v",-528378471307190,32165262.4833994,-16426990.8128338,0
"ATSC3v",311478033581412,13573147.314059,22948106.7562558,0
"ATSC4v",141510761466579,12209658.1766426,11590067.4219769,0
"ATSC5v",617148155916216,8596577.35628051,71789984.5879172,0
"ATSC6v",134076455762659,8062624.3249065,16629381.4966027,0
"ATSC7v",88600737900260.5,7574090.21031418,11697872.0136719,0
"ATSC8v",46863139817942.1,7408101.68825188,6325930.95910926,0
"ATSC1e",359202766457631,18576069.338816,19336855.3866803,0
"ATSC2e",243325495397543,14063554.3592879,17301849.104515,0
"ATSC3e",413063441331167,7902007.28110726,52273229.6537807,0
